Timestamp,Education,Track-chose,Traffic,Track-final
6/30/2023 16:03:29,Ordinary School,Backend,Friends/Acquaintances,Backend
6/30/2023 16:43:42,NIS IB,NA,Friends/Acquaintances,NO
6/30/2023 17:42:37,Ordinary School,NA,Family,NO
6/30/2023 17:45:27,ENU,Backend,Instagram,Backend
6/30/2023 17:47:44,NU,Frontend,Friends/Acquaintances,Frontend
6/30/2023 18:09:01,Ordinary School,NA,Friends/Acquaintances,NO
6/30/2023 18:09:29,Ordinary School,Backend,Friends/Acquaintances,NO
6/30/2023 21:39:25,Gwangju institute of science and technology,Backend,Friends/Acquaintances,NO
6/30/2023 22:06:30,AITU,NA,Instagram,Backend
6/30/2023 23:52:17,AlmaU,NA,Friends/Acquaintances,NO
07/02/2023 14:37,AITU,Backend,Instagram,Backend
07/01/2023 2:24,Binom,Frontend,Instagram,NO
07/01/2023 10:30,Ordinary School,NA,Instagram,Backend
07/01/2023 10:42,Binom,NA,Instagram,Backend
07/01/2023 11:05,Ordinary School,Frontend,Family,Frontend
07/01/2023 11:52,Ordinary School,Frontend,Instagram,NO
07/01/2023 12:12,BIL,NA,Telegram,NO
07/01/2023 12:30,Ordinary School,Frontend,Instagram,NO
07/01/2023 12:44,NIS PhM in Shymkent ,Frontend,Instagram,Frontend
07/01/2023 13:10,Ordinary School,Frontend,Family,Frontend
07/01/2023 13:17,Ordinary School,NA,Instagram,
07/01/2023 13:20,Ordinary School,NA,Instagram,NO
07/01/2023 14:25,NIS IB,NA,Friends/Acquaintances,NO
07/01/2023 14:33,Ordinary School,NA,Friends/Acquaintances,NO
07/01/2023 14:37,Ordinary School,NA,Friends/Acquaintances,NO
07/01/2023 15:20,Binom,NA,Friends/Acquaintances,Backend
07/01/2023 15:40,Ordinary School,Backend,Instagram,Backend
07/01/2023 16:04,NU,Backend,Instagram,NO
07/01/2023 17:00,BIL,NA,Friends/Acquaintances,NO
07/01/2023 17:14,Ordinary School ,NA,Instagram,NO
07/01/2023 21:19,Ordinary School,Frontend,Instagram,Frontend
07/01/2023 22:39,Binom,NA,Instagram,NO
07/01/2023 23:33,Atyrau University,NA,Instagram,Backend
07/02/2023 0:01,Ordinary School,Frontend,Instagram,Frontend
07/02/2023 0:01,Ordinary School,Backend,Instagram,NO
07/02/2023 6:59,BIL,Frontend,Instagram,NO
07/02/2023 7:06,BIL,NA,Friends/Acquaintances,NO
07/02/2023 11:27,NA,NA,Instagram,NO
07/02/2023 14:11,Ordinary School,NA,Family,Backend
07/03/2023 5:50,NIS ,Backend,Family,NO
07/05/2023 17:49,NIS,Frontend,Telegram,NO
07/03/2023 7:45,Binom,NA,Family,NO
07/03/2023 15:32,Ordinary School Бином им. Кадыра Мырза Али ,NA,Instagram,Frontend
07/03/2023 20:58,Ordinary School,Frontend,Telegram,Frontend
07/04/2023 16:17,Ordinary School in Taldykorgan,NA,Friends/Acquaintances,NO
07/04/2023 18:30,Ordinary School,NA,Instagram,NO
07/04/2023 18:32,NIS,Backend,Family,Backend
07/04/2023 20:47,AITU,NA,Instagram,Backend
07/05/2023 1:03,AITU,Backend,Instagram,NO
07/05/2023 1:16,Ordinary School,NA,Instagram,NO
07/05/2023 11:05,Ordinary School,NA,Telegram,NO
07/05/2023 11:13,Ordinary School,NA,Family,NO
07/05/2023 16:55,Ordinary School in Almaty village,Frontend,Friends/Acquaintances,Frontend
07/05/2023 11:42,Ordinary School,NA,Whatsapp,NO
07/05/2023 13:58,NU,Backend,Instagram,Backend
07/05/2023 15:13,BIL,Frontend,Friends/Acquaintances,Frontend
07/05/2023 20:15,AITU,Backend,Telegram,Backend
07/10/2023 9:58,NIS in Karaganda,Frontend,Instagram,Frontend
07/05/2023 22:17,RPhM,Frontend,Whatsapp,NO
07/05/2023 23:03,NA,Backend,Friends/Acquaintances,NO
07/07/2023 9:55,Ordinary School,Backend,Friends/Acquaintances,NO
07/08/2023 3:10,Ordinary School,NA,Telegram,NO
07/08/2023 22:35,NIS PhM in Semey,Frontend,Telegram,NO
07/09/2023 19:20,BIL,NA,Instagram,NO
07/10/2023 15:57,125 high school ,Frontend,Friends/Acquaintances,Frontend
07/10/2023 17:56,Ordinary School in Aktau,NA,Instagram,NO
07/10/2023 21:47,Ordinary School,NA,Family,NO
07/10/2023 22:36,Ordinary School,Backend,Friends/Acquaintances,NO
07/12/2023 1:44,AITU,NA,Friends/Acquaintances,NO
07/12/2023 5:39,Ordinary School,NA,Instagram,NO
07/12/2023 16:55,AITU,Frontend,Telegram,NO
07/12/2023 17:32,SDU,Backend,Friends/Acquaintances,NO
07/12/2023 17:53,Ordinary School,Backend,Family,Backend
07/12/2023 20:15,BIL,NA,Friends/Acquaintances,Backend
7/13/2023 15:26:42,College,Backend,Friends/Acquaintances,NO
7/14/2023 0:07:34,BIL,Frontend,Friends/Acquaintances,NO
7/14/2023 1:55:37,KILC,NA,Family,Frontend
7/14/2023 3:53:46,NIS in Karaganda,Frontend,Friends/Acquaintances,Frontend
7/14/2023 15:21:29,College in Karaganda,NA,Friends/Acquaintances,Frontend
7/15/2023 0:06:23,Ordinary School,NA,Friends/Acquaintances,NO
7/15/2023 10:33:37,NIS ChB in Aktau,Frontend,Friends/Acquaintances,Frontend
7/16/2023 15:29:30,Ordinary School,NA,Telegram,NO
7/16/2023 15:32:45,Ordinary School,NA,Family,NO
7/16/2023 15:40:32,NIS IB,NA,Friends/Acquaintances,NO
7/17/2023 11:46:16,Ordinary School,Backend,Family,Backend
7/17/2023 18:01:00,Ordinary School,Frontend,Telegram,Frontend
7/18/2023 16:28:42,NIS IB,Frontend,Instagram,Frontend
7/18/2023 21:13:04,Ordinary School,Backend,Family,NO
7/22/2023 12:46:48,AITU,Frontend,Telegram,NO
7/22/2023 22:22:53,NU,NA,Instagram,NO
7/23/2023 12:51:46,NIS PhM,Backend,Family,NO
7/23/2023 16:58:06,NIS IB,Backend,Friends/Acquaintances,NO
7/23/2023 17:46:03,BIL in Aktobe,NA,Instagram,NO
7/24/2023 22:54:48,Ordinary School,Frontend,Friends/Acquaintances,NO
7/24/2023 23:19:34,NIS PhM,Frontend,Instagram,Backend
7/26/2023 21:40:23,Binom,NA,Friends/Acquaintances,Backend
